name,ra,dec,distance_ly,radius_re,mass_me,Flux,temperature_k,period_days,star_type,star_temp,star_mass,star_radius,detection_method,planet_type,age_gyr,esi,hostname
GJ 163 c,62.3228353,-53.3711768,49.34251046,2.5,6.8,1.25,303,25.6,,,,,Radial Velocity,M Warm Superterran,6,0.69,GJ 163
GJ 180 c,73.460097,-17.776194,38.94530949,2.41,6.4,0.78,270,24.3,M2 V,3371,0.43,,Radial Velocity,M Warm Superterran,,0.7,GJ 180
GJ 180 d,73.460097,-17.776194,38.94530949,2.66,7.56,0.26,204,106,,,0.43,,Radial Velocity,M Warm Superterran,,0.48,GJ 180
GJ 229 A c,92.6435993,-21.8677233,18.77432213,2.87,8.58,0.44,227,121,,,0.51,,Radial Velocity,M Warm Superterran,0.4,0.56,GJ 229
GJ 3293 d,67.1484425,-25.1713396,65.85187487,2.67,7.6,0.59,251,48.1,M2.5,3466,0.42,0.4,Radial Velocity,M Warm Superterran,,0.63,GJ 3293
GJ 357 d,144.0074644,-21.6650634,30.79502982,2.34,6.1,0.38,226,55.7,M2.5 V,3505,0.34,0.34,Radial Velocity,M Warm Superterran,,0.58,GJ 357
GJ 367 d,146.121464,-45.7790165,30.6998575,2.33,6.03,1.15,296,34.4,M1.0 V,3522,0.46,0.46,Radial Velocity,M Warm Superterran,,0.71,GJ 367
GJ 433 d,173.8619194,-32.5436302,29.56460631,2.14,5.22,1.06,291,36.1,,,0.48,,Radial Velocity,M Warm Superterran,,0.74,GJ 433
GJ 514 b,202.5040424,10.3725387,24.84584654,2.13,5.2,0.27,198,140,M0.5-1.0 V,3728,0.51,0.5,Radial Velocity,M Warm Superterran,0.8,0.52,GJ 514
GJ 667 C c,259.7510609,-34.9977651,23.62661018,1.77,3.8,0.88,278,28.1,M1.5 V,3350,0.33,,Radial Velocity,M Warm Superterran,2,0.8,GJ 667 C
GJ 682 b,264.2610245,-44.3232519,16.32968507,1.93,4.4,0.31,215,17.5,M3.5 V,3028,0.27,,Radial Velocity,M Warm Superterran,,0.57,GJ 682
HD 216520 c,341.8768719,83.6975307,63.77002112,3.03,9.44,1.28,304,154,,5103,0.82,0.76,Radial Velocity,K Warm Superterran,6,0.63,HD 216520
